Year,AEZ_Name,tmp,pre,pdsi,pet,sm,Number_confirmed_events,sheep_mean,goat_mean,cattle_mean
1980,Coastal,26.2791669368744,53.158334090064,-2.28645832836628,5.1458334227403,0.142926118956328,0,52.612427302642,85.6733827197675,51.8031072626409
1980,Highland,16.4937503139178,77.6722233777245,-2.47048611773385,3.82500006092919,0.159968796189905,0,62.3162563117002,19.12046964796525,45.551579268088005
1980,Lowland,26.0541460788879,35.6856876815801,-2.26993243789826,5.44626959962601,0.144416466942436,32,34.2102670349519,57.5846731027718,14.5497243298259
1980,Midland,20.2969020594899,74.9742531801423,-1.71328525696324,4.38247871628174,0.158539595905625,0,70.91565754386897,66.97802977799964,82.6475845845028
1980,Nairobi City,18.3333338101705,83.350000568231,-0.044999999304612,3.9500000278155,0.190378523276498,0,56.7142301559448,65.8222482681274,78.8638029098511
1980,Waterbody,22.5625003178915,102.904168812434,-2.0012499888738,4.75833344459534,0.148670824958242,0,37.71647417768836,24.23146892040968,25.03082502740955
1981,Coastal,26.1666671037674,77.2437512135133,-2.34354166996976,5.15833346048991,0.169952634358837,0,52.612427302642,85.6733827197675,51.8031072626409
1981,Highland,16.4555558628506,101.518751505017,-2.07722222184141,3.86666671931744,0.183611030822792,0,62.3162563117002,19.12046964796525,45.551579268088005
1981,Lowland,25.9327998542799,56.7733685704113,-1.38729107434433,5.44750578519038,0.176240284299199,0,34.2102670349519,57.5846731027718,14.5497243298259
1981,Midland,20.2424682613112,86.9212619083574,-1.37916667307687,4.42660263944895,0.188935129368497,0,70.91565754386897,66.97802977799964,82.6475845845028
1981,Nairobi City,18.2583337624868,81.0333350022634,0.210833328931282,3.98333336909612,0.182452420134925,0,56.7142301559448,65.8222482681274,78.8638029098511
1981,Waterbody,22.5625004768372,107.179168891907,-2.22916665176551,4.78750006357829,0.178122288052135,0,37.71647417768836,24.23146892040968,25.03082502740955
1982,Coastal,26.1229169766108,110.891669505835,-0.431875009749396,5.05416674911976,0.167307463398426,0,52.612427302642,85.6733827197675,51.8031072626409
1982,Highland,16.4076392451922,105.418056531747,-1.84277777642839,3.83680561350452,0.186448599620478,0,62.3162563117002,19.12046964796525,45.551579268088005
1982,Lowland,25.8644041906808,66.4396906386969,-1.01627830978462,5.37729036280188,0.174620140336207,0,34.2102670349519,57.5846731027718,14.5497243298259
1982,Midland,20.1907589007647,100.278687226728,-1.50345085092828,4.37638896945705,0.189975270597538,0,70.91565754386897,66.97802977799964,82.6475845845028
1982,Nairobi City,18.2083336512248,87.1000006934007,-0.189166667095074,3.92500003178914,0.18447753171333,0,56.7142301559448,65.8222482681274,78.8638029098511
1982,Waterbody,22.5291670958201,124.616667874654,-2.7720833470424,4.74166671435038,0.177616125876467,0,37.71647417768836,24.23146892040968,25.03082502740955
1983,Coastal,26.6708335876465,74.5083339869976,-0.521458337122265,5.20416677991549,0.155699067586248,7,52.612427302642,85.6733827197675,51.8031072626409
1983,Highland,16.84097253614,97.8555566661888,-1.00034722230501,3.82291673951679,0.1722745386533,0,62.3162563117002,19.12046964796525,45.551579268088005
1983,Lowland,26.3032925508781,40.9411786086671,-1.3928353310174,5.4268899547892,0.161511673054832,9,34.2102670349519,57.5846731027718,14.5497243298259
1983,Midland,20.6668272828445,80.0261227462505,-1.10198183515722,4.40641033522084,0.176930793501865,1,70.91565754386897,66.97802977799964,82.6475845845028
1983,Nairobi City,18.6916670799256,67.5833343625069,-0.464166661724448,3.89166671037674,0.174048432821615,0,56.7142301559448,65.8222482681274,78.8638029098511
1983,Waterbody,22.9291668732961,103.754169019063,-2.09916667640209,4.76250006755193,0.164920324270429,0,37.71647417768836,24.23146892040968,25.03082502740955
1984,Coastal,26.0083337624868,81.4166678870718,-1.11708333583859,5.03333341081937,0.147390186502976,0,52.612427302642,85.6733827197675,51.8031072626409
1984,Highland,16.3694447146522,64.6256953820586,-2.91520833606935,3.85138894617557,0.155832541939911,0,62.3162563117002,19.12046964796525,45.551579268088005
1984,Lowland,25.828237308651,38.717168303066,-2.90135927848125,5.38767335466661,0.147406984105202,0,34.2102670349519,57.5846731027718,14.5497243298259
1984,Midland,20.1379811076018,71.9277253796834,-2.36024572654492,4.39321589202453,0.158529628147726,0,70.91565754386897,66.97802977799964,82.6475845845028
1984,Nairobi City,18.2166670163473,41.474999688069,-2.81416667501132,3.97500012318293,0.161102404869679,0,56.7142301559448,65.8222482681274,78.8638029098511
1984,Waterbody,22.4833335876465,100.850000794729,-2.66874998807907,4.77916679779688,0.149992141804237,0,37.71647417768836,24.23146892040968,25.03082502740955
1985,Coastal,26.0333338181178,71.916667603453,-1.13229166312764,5.00833342472712,0.157464253206579,0,52.612427302642,85.6733827197675,51.8031072626409
1985,Highland,16.200000319216,94.1520847489437,-2.63277777036031,3.77986117700736,0.178695408404724,0,62.3162563117002,19.12046964796525,45.551579268088005
1985,Lowland,25.6915886444082,47.9081495243257,-2.14793472374893,5.29826711415358,0.163823181147345,0,34.2102670349519,57.5846731027718,14.5497243298259
1985,Midland,20.0315174715132,88.5345097991083,-1.18954593963666,4.31901716689269,0.17909860790297,0,70.91565754386897,66.97802977799964,82.6475845845028
1985,Nairobi City,18.0583336353302,64.9166673491399,-2.76499996582667,3.84166669845581,0.193878671516561,0,56.7142301559448,65.8222482681274,78.8638029098511
1985,Waterbody,22.3166669209798,102.304168335597,-2.14124999692043,4.70833337306976,0.166882478603722,0,37.71647417768836,24.23146892040968,25.03082502740955
