"","AEZ_Name","year","tmp","pre","pdsi","pet","sm"
"1","Coastal",1960,26.0770836671194,79.3833344633381,-1.63687499674658,5.10208341479301,NA
"2","Coastal",1961,26.4458338816961,105.058334754904,-0.611250011560817,5.04375005265077,NA
"3","Coastal",1962,26.0750003655752,56.1312509258588,-0.294166673595707,5.07916676998138,NA
"4","Coastal",1963,25.8333337306976,97.0687508016825,-0.609999987762422,4.9541667252779,NA
"5","Coastal",1964,25.7437504529953,66.5208342472712,-0.878750004495183,5.03958338499069,NA
"6","Coastal",1965,25.8812503417333,70.2833339349988,-1.90833333045399,5.07708343863487,NA
"7","Coastal",1966,26.241666952769,85.1875016095738,-0.822291662489685,5.09166675806045,NA
"8","Coastal",1967,26.0145836273829,113.55416996181,0.357708338725692,4.97500003874302,NA
"9","Coastal",1968,25.4375003973643,127.372919245654,3.66416664918264,4.91250008841355,NA
"10","Coastal",1969,26.4041669368744,63.3020846754313,-1.41750000619019,5.14791678388913,NA
"11","Coastal",1970,26.2833336194356,59.8041679079334,-2.91562499602636,5.10833345850309,NA
"12","Coastal",1971,25.7229170401891,61.1375009899649,-3.33479168017705,5.06250005960464,NA
"13","Coastal",1972,26.2895837624868,90.5500017215808,-2.98583332945903,5.05416672925154,NA
"14","Coastal",1973,26.4375003973643,66.8791677196821,-2.20166665315628,5.20000006755193,NA
"15","Coastal",1974,26.1291670004527,53.4520839994152,-3.11854166785876,5.1916667620341,NA
"16","Coastal",1975,26.0375004609426,60.4458340466643,-3.6697916885217,5.11458340287208,NA
"17","Coastal",1976,26.2333336671194,61.5833339179555,-3.71854164699713,5.19791675607363,NA
"18","Coastal",1977,26.1645839214325,81.6770843098872,-2.65854168244793,5.12708347042401,NA
"19","Coastal",1978,26.0833337306976,91.71875132521,-0.462083331542089,5.06041674315929,0.199841901041427
"20","Coastal",1979,26.0708338022232,106.931251809001,0.256458334624767,5.01250007251898,0.207374907177199
"21","Coastal",1980,26.2791669368744,53.158334090064,-2.28645832836628,5.1458334227403,0.142926118956328
"22","Coastal",1981,26.1666671037674,77.2437512135133,-2.34354166996976,5.15833346048991,0.169952634358837
"23","Coastal",1982,26.1229169766108,110.891669505835,-0.431875009749396,5.05416674911976,0.167307463398426
"24","Coastal",1983,26.6708335876465,74.5083339869976,-0.521458337122265,5.20416677991549,0.155699067586248
"25","Coastal",1984,26.0083337624868,81.4166678870718,-1.11708333583859,5.03333341081937,0.147390186502976
"26","Coastal",1985,26.0333338181178,71.916667603453,-1.13229166312764,5.00833342472712,0.157464253206579
"27","Coastal",1986,26.2166670560837,83.3187508760641,-1.43687499221414,5.12083339194457,0.141879229248156
"28","Coastal",1987,26.6708337068558,75.500000901303,-1.39437499494913,5.2104167342186,0.153955367580817
"29","Coastal",1988,26.6708337465922,73.6291680178294,-2.00895832479,5.18541680773099,0.166212237466374
"30","Coastal",1989,25.900000333786,70.5291673907079,-1.85708332799065,4.93125005066395,0.16167977750888
"31","Coastal",1990,26.2604170242945,69.7770843485991,-1.81770833348855,5.04583344856898,0.141479845022432
"32","Coastal",1991,26.4520836671194,74.9791683807969,-2.14520833144585,5.13333340982596,0.148372073743348
"33","Coastal",1992,26.3395836750666,69.7250006479521,-2.25041665881872,5.04791676501433,0.149922607014777
"34","Coastal",1993,26.1937503019969,59.827083971103,-2.5666666701436,5.09791674216588,0.146928270933047
"35","Coastal",1994,26.4708336989085,97.2041677030424,-1.94687498857578,5.05208342770735,0.157966500620486
"36","Coastal",1995,26.4916671117147,62.5541675274571,-1.70812499895692,5.08958339194457,0.149066282559063
"37","Coastal",1996,26.4229170084,56.3104179302852,-2.20062499493361,5.09791674713294,0.136164693282383
"38","Coastal",1997,26.4270837306976,110.179167824984,-0.398333331531224,5.05625008046627,0.173153285539393
"39","Coastal",1998,26.6770836512248,92.4812523961067,1.53083331747136,5.08333346247673,0.230178572599104
"40","Coastal",1999,26.5395836830139,75.9104175411165,-1.53354164399207,5.16458343962828,0.174268829262836
"41","Coastal",2000,26.4875003099442,63.7645846734444,-2.24875000864267,5.21875007947286,0.159186247844777
"42","Coastal",2001,26.6166670322418,59.9395844300588,-2.72958332300186,5.13541677097479,0.157060015692689
"43","Coastal",2002,26.8229171037674,94.2583350419998,-2.60562501599391,5.10625010728836,0.173495432402898
"44","Coastal",2003,27.0020837386449,57.7895844715648,-2.3706250016888,5.30625010530154,0.168036478585199
"45","Coastal",2004,26.4500002861023,61.3500005230308,-3.03895832846562,5.08750014503797,0.163991448040876
"46","Coastal",2005,26.2812503178914,58.1208341260751,-3.24770833303531,5.14166674017906,0.14393936184847
"47","Coastal",2006,26.5812501907349,103.54166815877,-2.06479165268441,5.05833343664805,0.163854768620389
"48","Coastal",2007,26.4458337227504,72.6625010947386,-1.15812500224759,5.06666680177053,0.181495898559025
"49","Coastal",2008,26.3708336750666,56.8812508205573,-1.91562501259614,5.12083341677983,0.173264885316643
"50","Coastal",2009,26.8916670084,65.8187510371208,-3.19729168713093,5.23333342870076,0.154364586418871
"51","Coastal",2010,26.9166671037674,54.9729176104069,-3.25291667878628,5.17083345850309,0.166673821157462
"52","Coastal",2011,26.6625003417333,69.3270840883255,-3.62833334753911,5.1395834783713,0.149455187022594
"53","Coastal",2012,26.4979170163473,60.297917209069,-3.6418749888738,5.12500012914339,0.135652863458536
"54","Coastal",2013,26.7145837942759,67.7833344121774,-3.35083331167698,5.2041667898496,0.151859184052251
"55","Coastal",2014,26.697917064031,72.9312508642674,-3.04729167123636,5.13541676600774,0.148518823403871
