AEZ_Name,sheep_mean,goat_mean,cattle_mean
Coastal,52.612427302642,85.6733827197675,51.8031072626409
Lowland,34.2102670349519,57.5846731027718,14.5497243298259
Midland,70.91565754386897,66.97802977799964,82.6475845845028
Nairobi City,56.7142301559448,65.8222482681274,78.8638029098511
Highland,62.3162563117002,19.12046964796525,45.551579268088005
Waterbody,37.71647417768836,24.231468920409682,25.03082502740955
